State,k,lambda,Objective Value,Existing clients,New clients,Existing sum distance,New sum distance,Reassigned Clients,Reassigned Distance,Total Distance,Existing Average,Run Time
Iowa,17,1,872.230569037947,1361.9999999999998,872.2304668502204,11988.679153503617,12544.32120562469,81.8197883468591,570.6221805494813,24533.00035912831,8.80226075881323,1.7097128927707672
Iowa,18,1,898.3662410214207,1361.9999999999998,898.3661388336941,11988.679153503617,12880.59146745179,81.8197883468591,570.6221805494813,24869.27062095541,8.80226075881323,1.7317843548953533
Iowa,19,1,924.0547082748819,1361.9999999999998,924.0546958721219,13187.5969994274,13234.178250020708,32.3548592974396,615.8412373551573,26421.77524944811,9.68252349444009,1.7486653849482536
Iowa,20,1,947.5311876469355,1361.9999999999998,947.5311748147137,13181.862304827442,13600.088684302988,36.161801985432476,705.1727267092293,26781.95098913043,9.678312999139093,2.1549255400896072
Iowa,21,1,970.611306716142,1361.9999999999998,970.6112111223263,12076.729052620492,14064.423149280585,80.7368354997532,553.7014144095209,26141.152201901077,8.8669082618359,2.4373659268021584
Iowa,22,1,993.6104232892566,1361.9999999999998,993.6103092024817,11829.788619429746,14440.008664817775,138.61741665115133,1663.4758195311483,26269.79728424752,8.685601042165748,2.6141412779688835
Iowa,23,1,1015.0977533882852,1361.9999999999998,1015.0976338091189,11756.447541753316,14807.57363266198,150.7384388513123,1834.3694738361608,26564.0211744153,8.63175296751345,3.9562436155974865
Iowa,24,1,1036.527410019052,1361.9999999999998,1036.5273091469521,12006.246998468165,15283.362313308364,98.33673706240278,895.719234606463,27289.609311776527,8.815159323398067,2.5561367198824883
Iowa,25,1,1056.7714206355429,1361.9999999999998,1056.7713264625027,12095.700973607638,15614.837224441688,79.24011300085593,614.8942001541376,27710.538198049326,8.880837719242026,2.938471455127001
Kansas,1,1,91.44684292403312,2209.0,91.44684292403312,21064.853788758104,1088.8409092364534,0.0,0.0,22153.694697994557,9.53592294647266,6.141522284597158
Kansas,2,1,177.84091323989597,2209.0,177.84091323989597,21064.853788758104,2634.912573664599,0.0,0.0,23699.766362422703,9.53592294647266,1.663046058267355
Kansas,3,1,247.00816185567058,2209.0,247.00816185567058,21064.853788758104,2859.628803219948,0.0,0.0,23924.482591978052,9.53592294647266,1.6266501247882843
Kansas,4,1,305.1654909772657,2209.0,305.1654909772657,21064.853788758104,3701.771968494068,0.0,0.0,24766.62575725217,9.53592294647266,1.5980268716812134
Kansas,5,1,361.1336600168898,2209.0,361.1336600168898,21064.853788758104,4649.835566454722,0.0,0.0,25714.689355212824,9.53592294647266,1.6968584693968296
Kansas,6,1,415.64096588048085,2209.0,415.64096588048085,21064.853788758104,5370.355199550125,0.0,0.0,26435.20898830823,9.53592294647266,1.5209212750196457
Kansas,7,1,461.57734487749053,2209.0,461.57734487749053,21064.853788758104,6079.947086977169,0.0,0.0,27144.800875735273,9.53592294647266,1.5572813712060452
Kansas,8,1,506.8991693624009,2209.0,506.8991693624009,21064.853788758104,6720.324631488455,0.0,0.0,27785.17842024656,9.53592294647266,1.713011421263218
Kansas,9,1,543.0168800020208,2209.0,543.0168800020208,21064.853788758104,7006.08167567966,0.0,0.0,28070.935464437764,9.53592294647266,1.6063956394791603
Kansas,10,1,573.7632523532365,2209.0,573.7632523532365,21064.853788758104,7393.942128013186,0.0,0.0,28458.79591677129,9.53592294647266,1.566547840833664
Kansas,11,1,604.0440150108858,2209.0,604.0440150108858,21064.853788758104,7734.19338804436,0.0,0.0,28799.047176802465,9.53592294647266,1.716129869222641
Kansas,12,1,633.6221487600678,2209.0,633.6221487600678,21064.853788758104,7920.253579228119,0.0,0.0,28985.107367986224,9.53592294647266,1.6131841726601124
Kansas,13,1,661.5661764337757,2209.0,661.5661764337757,21064.853788758104,8175.209246011763,0.0,0.0,29240.063034769868,9.53592294647266,1.5937318690121174
Kansas,14,1,686.1962515215396,2209.0,686.1962515215396,21064.853788758104,8486.555758804885,0.0,0.0,29551.409547562987,9.53592294647266,1.690772831439972
Kansas,15,1,707.7087986315502,2209.0,707.7087986315502,21064.853788758104,9800.388303118261,0.0,0.0,30865.242091876367,9.53592294647266,1.7029380053281784
Kansas,16,1,729.2026550874506,2209.0,729.2026550874506,21064.853788758104,10061.632373532288,0.0,0.0,31126.48616229039,9.53592294647266,1.6131864599883556
Kansas,17,1,746.9959405709443,2209.0,746.9959405709443,21064.853788758104,10132.784488530207,0.0,0.0,31197.63827728831,9.53592294647266,1.633649691939354
Kansas,18,1,763.9717062117404,2209.0,763.9717062117404,21064.853788758104,10294.38851889147,0.0,0.0,31359.242307649576,9.53592294647266,1.956880610436201
Kansas,19,1,779.5655827456081,2209.0,779.5655545343276,20470.58728834482,10734.752211385188,50.682571501325754,441.07533541656164,31205.33949973001,9.266902348730113,1.561418578028679
Kansas,20,1,794.6948027909613,2209.0,794.6947745796807,20470.58728834482,10330.19670977194,50.682571501325754,441.07533541656164,30800.783998116764,9.266902348730113,1.6227458119392395
Kansas,21,1,808.9596823516074,2209.0,808.9596541403268,20470.58728834482,10474.39370213635,50.682571501325754,441.07533541656164,30944.98099048117,9.266902348730113,1.774675615131855
Kansas,22,1,823.0380121360472,2209.0,823.0379777764933,20341.074810345413,10933.080860657057,56.91769433539566,441.07533541656164,31274.15567100247,9.208272888341066,1.7449888437986374
Kansas,23,1,835.661817390398,2209.0,835.6617830308442,20341.074810345413,11188.671978772363,56.91769433539566,441.07533541656164,31529.746789117777,9.208272888341066,1.6265613958239555
Kansas,24,1,848.2715698909748,2209.0,848.2715355314209,20341.074810345413,11265.53062579611,56.91769433539566,441.07533541656164,31606.605436141523,9.208272888341066,1.6301147677004337
Kansas,25,1,860.8608024120881,2209.0,860.8607680525342,20341.074810345413,11467.867593388324,56.91769433539566,441.07533541656164,31808.942403733738,9.208272888341066,1.4673947431147099
Kentucky,1,1,182.45396581776083,4282.0000000000055,182.45396581776083,41177.83160841603,3040.194658858995,0.0,0.0,44218.026267275025,9.61649500430079,6.305957566946745
Kentucky,2,1,341.55732137391414,4282.0000000000055,341.55732137391414,41177.83160841603,5565.995071761046,0.0,0.0,46743.82668017708,9.61649500430079,1.3647528775036335
Kentucky,3,1,493.8363275169902,4282.0000000000055,493.8363275169902,41177.83160841603,8570.966634224043,0.0,0.0,49748.79824264008,9.61649500430079,1.357242412865162
Kentucky,4,1,642.5804594581023,4282.0000000000055,642.5804594581023,41177.83160841603,11326.427932793094,0.0,0.0,52504.259541209125,9.61649500430079,1.3362773470580578
Kentucky,5,1,762.4587549421109,4282.0000000000055,762.4587549421109,41177.83160841603,13089.831173207254,0.0,0.0,54267.66278162329,9.61649500430079,1.4727727770805359
Kentucky,6,1,875.3980915877855,4282.0000000000055,875.3980915877855,41177.83160841603,14890.098032379832,0.0,0.0,56067.92964079586,9.61649500430079,1.569866918027401
Kentucky,7,1,974.0591820393557,4282.0000000000055,974.0591820393557,41177.83160841603,16029.355463573147,0.0,0.0,57207.18707198918,9.61649500430079,1.4869495257735252
Kentucky,8,1,1071.1275088916227,4282.0000000000055,1071.1275088916227,41177.83160841603,17808.929818781744,0.0,0.0,58986.76142719778,9.61649500430079,1.3936175256967545
Kentucky,9,1,1146.752768569034,4282.0000000000055,1146.752768569034,41177.83160841603,19043.76909245341,0.0,0.0,60221.60070086944,9.61649500430079,1.3953991159796715
Kentucky,10,1,1221.987040062435,4282.0000000000055,1221.987040062435,41177.83160841603,20313.703827732883,0.0,0.0,61491.535436148915,9.61649500430079,1.4175560139119625
Kentucky,11,1,1292.001923128617,4282.0000000000055,1292.001923128617,41177.83160841603,21627.44744774049,0.0,0.0,62805.27905615652,9.61649500430079,1.4750204123556614
Kentucky,12,1,1359.0347373979464,4282.0000000000055,1359.0347373979464,41177.83160841603,21915.16402295124,0.0,0.0,63092.995631367274,9.61649500430079,1.4460191950201988
Kentucky,13,1,1425.8995808985283,4282.0000000000055,1425.8995808985283,41177.83160841603,22899.53133252626,0.0,0.0,64077.362940942294,9.61649500430079,1.4238014481961727
Kentucky,14,1,1490.6986091673111,4282.0000000000055,1490.6986091673111,41177.83160841603,23850.650318336207,0.0,0.0,65028.48192675224,9.61649500430079,1.4586540684103966
Kentucky,15,1,1550.8311118037786,4282.0000000000055,1550.8311118037786,41177.83160841603,24779.119424008608,0.0,0.0,65956.95103242464,9.61649500430079,1.489949531853199
Kentucky,16,1,1610.9266638178788,4282.0000000000055,1610.9266638178788,41177.83160841603,25628.02194131224,0.0,0.0,66805.85354972827,9.61649500430079,1.4215191751718521
Kentucky,17,1,1666.7856992606237,4282.0000000000055,1666.7856992606237,41177.83160841603,26678.19440285552,0.0,0.0,67856.02601127155,9.61649500430079,1.6083924658596516
Kentucky,18,1,1720.7914128129876,4282.0000000000055,1720.7914128129876,41177.83160841603,27576.379367301895,0.0,0.0,68754.21097571793,9.61649500430079,1.6141898557543755
Kentucky,19,1,1764.4997984514598,4282.0000000000055,1764.4997984514598,41177.83160841603,28255.035719655556,0.0,0.0,69432.86732807159,9.61649500430079,1.6643849425017834
Kentucky,20,1,1801.3323835088772,4282.0000000000055,1801.3323809818644,41073.774698821886,29014.657248252723,34.33939049781515,639.5339282216516,70088.43194707461,9.59219399785657,2.27963475510478
